client_id,status,latency_ms
14,OK,3900
3,OK,5134
13,OK,5683
17,OK,6332
1,OK,7061
2,OK,7685
5,OK,8585
10,OK,8943
12,OK,9540
16,OK,10238
20,OK,11178
15,OK,11586
18,OK,12186
22,OK,12848
4,FAIL,13409
19,OK,13501
6,FAIL,14062
24,FAIL,14486
8,FAIL,15210
7,FAIL,15823
11,FAIL,16433
23,FAIL,17043
9,FAIL,17685
25,FAIL,14383
21,FAIL,18874
26,FAIL,14418
27,FAIL,14527
28,FAIL,14589
29,FAIL,14631
33,FAIL,12827
30,FAIL,15404
31,FAIL,15217
32,FAIL,15558
37,FAIL,13060
34,FAIL,15598
35,FAIL,15309
41,FAIL,13086
42,FAIL,13237
36,FAIL,16740
38,FAIL,16085
39,FAIL,16163
40,FAIL,16664
43,FAIL,15618
44,FAIL,15630
45,FAIL,15640
46,FAIL,15667
47,FAIL,15687
49,FAIL,15065
50,FAIL,15067
48,FAIL,16937
51,FAIL,15646
52,FAIL,15549
53,FAIL,15450
54,FAIL,15396
55,FAIL,15304
56,FAIL,15257
57,FAIL,15191
58,FAIL,15008
59,FAIL,15024
60,FAIL,15063
61,FAIL,15100
62,FAIL,15126
63,FAIL,15171
64,FAIL,15157
65,FAIL,15220
66,FAIL,15234
67,FAIL,15284
68,FAIL,15321
69,FAIL,15304
70,FAIL,15267
71,FAIL,15274
72,FAIL,15304
73,FAIL,15257
74,FAIL,15346
75,FAIL,15320
76,FAIL,15351
77,FAIL,15429
78,FAIL,15482
79,FAIL,15516
80,FAIL,15490
81,FAIL,15476
97,FAIL,5550
82,FAIL,15469
83,FAIL,15462
84,FAIL,15348
85,FAIL,15262
86,FAIL,15186
87,FAIL,15135
88,FAIL,15062
102,FAIL,6467
101,FAIL,7714
103,FAIL,6859
89,FAIL,16074
90,FAIL,16056
93,FAIL,14218
91,FAIL,16080
98,FAIL,12129
100,FAIL,10868
99,FAIL,11516
92,FAIL,16390
104,FAIL,9129
106,FAIL,8809
107,FAIL,8829
95,FAIL,16158
94,FAIL,17290
96,FAIL,16654
105,FAIL,11416
108,FAIL,10864
109,FAIL,10877
110,FAIL,10878
111,FAIL,10771
112,FAIL,10756
117,FAIL,9008
113,FAIL,11152
114,FAIL,11056
115,FAIL,10991
116,FAIL,10974
118,FAIL,10693
119,FAIL,10981
120,FAIL,10820
